IP,CVSS Base Vector,Posture,Access Vector,Access Vector Score,Access Complexity,Access Complexity Score,Authentication,Authentication Score,Confidentiality Impact,Confidentiality Impact Score,Integrity Impact,Integrity Impact Score,Availability Impact,Availability Impact Score,Exploitability %,Affected Metrics,Statement
192.168.1.152,,,,,,,,,,,,,,,,,
192.168.1.133,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,N,0,42.08773443167991,Confidentiality,This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality.
,CVSS2#AV:N/AC:L/Au:N/C:P/I:P/A:N,Outsider,N,1,L,0.71,N,0.704,P,0.275,P,0.275,N,0,100.0,"Confidentiality,Integrity","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:N/AC:L/Au:N/C:P/I:P/A:N,Outsider,N,1,L,0.71,N,0.704,P,0.275,P,0.275,N,0,100.0,"Confidentiality,Integrity","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity."
192.168.1.106,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:L/Au:N/C:N/I:P/A:N,Outsider,N,1,L,0.71,N,0.704,N,0,P,0.275,N,0,100.0,Integrity,This vulnerability can be exploited 100.0% of the time and it causes a loss of Integrity.
192.168.1.76,,,,,,,,,,,,,,,,,
192.168.1.32,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C,Outsider,N,1,L,0.71,N,0.704,C,0.66,C,0.66,C,0.66,100.0,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,N,0,42.08773443167991,Confidentiality,This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality.
,CVSS2#AV:N/AC:L/Au:N/C:P/I:P/A:N,Outsider,N,1,L,0.71,N,0.704,P,0.275,P,0.275,N,0,100.0,"Confidentiality,Integrity","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:N/AC:L/Au:N/C:P/I:P/A:N,Outsider,N,1,L,0.71,N,0.704,P,0.275,P,0.275,N,0,100.0,"Confidentiality,Integrity","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity."
192.168.1.27,,,,,,,,,,,,,,,,,
192.168.1.21,,,,,,,,,,,,,,,,,
192.168.1.16,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C,Outsider,N,1,L,0.71,N,0.704,C,0.66,C,0.66,C,0.66,100.0,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 100.0% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,N,0,42.08773443167991,Confidentiality,This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality.
